공원명,지역,면적,위도,경도,분류,크기
남산도시자연공원,중구,2896887.0,37.5501402,126.9903773,대형,15
길동생태공원,강동구,80683.0,37.5403935,127.1547791,소형,3
서울대공원,과천시,9132690.0,37.4264494,127.01984650000001,대형,15
서울숲,성동구,480994.0,37.5430717,127.0417982,중형,7
월드컵공원,마포구,2284085.0,37.571805,126.87890700000001,대형,15
광화문시민열린마당,종로구,8948.1,37.575044899999995,126.9780227,소형,3
진관근린공원(구파발폭포),은평구,0.0,37.6370244,126.9192155,소형,3
중마루근린공원,영등포구,6456.0,37.519832,126.9112668,소형,3
응봉공원,성동구,80309.0,37.5572281,127.0217653,소형,3
매화근린공원,강서구,1980.4,37.5575833,126.86115,소형,3
성수근린공원,성동구,5197.7,37.5448144,127.05240230000001,소형,3
샛마을근린공원,강동구,11467.0,37.5504807,127.1471618,소형,3
여의도근린공원,영등포구,229539.0,37.526129,126.922377,중형,7
간데메근린공원,동대문구,15179.7,37.57324379999999,127.04886440000001,소형,3
훈련원근린공원,중구,16734.6,37.5675245,127.0038188,소형,3
영등포근린공원,영등포구,61544.0,37.515423,126.91066200000002,소형,3
보라매근린공원,동작구,424106.0,37.492333,126.91828899999999,중형,7
어린이대공원,광진구,560552.0,37.5498987,127.0809212,중형,7
천호근린공원,강동구,26696.8,37.5444741,127.1263451,소형,3
용산가족공원,용산구,75900.0,37.522226,126.98333500000001,소형,3
독립근린공원,서대문구,113021.72,37.5738289,126.956771,중형,7
낙산근린공원,종로구,201779.0,37.580477,127.00758700000002,중형,7
양재시민의숲,서초구,258991.0,37.471225,127.03504199999999,중형,7
관악산도시자연공원,관악구,10420819.08,37.445208,126.96413000000001,대형,15
효창근린공원,용산구,171294.1,37.545234,126.95993,중형,7
감로천생태공원(관악산),금천구,15000.0,37.469625,126.9079509,소형,3
개운산근린공원,성북구,297926.0,37.596583700000004,127.0252858,중형,7
개웅산근린공원,구로구,411972.0,37.4888943,126.84857340000002,중형,7
경희궁,종로구,98470.0,37.570772999999996,126.9685341,소형,3
국립현충원,동작구,2038741.3,37.4998621,126.97368490000001,대형,15
계남근린공원,양천구,603715.2,37.513835799999995,126.84796429999999,중형,7
고척근린공원,구로구,108120.0,37.5042944,126.85214950000001,중형,7
파리근린공원,양천구,29619.3,37.5349739,126.87639320000001,소형,3
허준공원,강서구,29843.8,37.5679874,126.8526745,소형,3
궁동근린공원,서대문구,126026.0,37.5690506,126.9229851,중형,7
궁산근린공원,강서구,135002.7,37.5735645,126.838952,중형,7
까치산근린공원,동작구,384026.0,37.4845836,126.96407350000001,중형,7
꿩고개근린공원,강서구,180000.0,37.5801585,126.8157075,중형,7
노량진공원,동작구,416031.0,37.510234000000004,126.928607,중형,7
답십리근린공원,동대문구,160720.0,37.5750896,127.0626512,중형,7
대모산도시자연공원,강남구,2277252.0,37.4796489,127.0809639,대형,15
