지역,공원면적,공원수,구면적,인구수
강남구,3626398.5,7,39000000,544055
강동구,1526389.3,7,24000000,463998
강북구,3714902.4,4,23000000,311569
강서구,2194154.1,9,41000000,585901
관악구,10431453.08,2,29000000,509803
광진구,584002.0,2,17000000,360109
구로구,1617657.0,4,20000000,432488
금천구,57568.0,4,13000000,247835
노원구,12024307.3,2,35000000,527032
도봉구,1084218.0,6,20000000,327361
동대문구,458663.7,4,14000000,357014
동작구,3706739.0999999996,7,16000000,401572
마포구,2685112.6999999997,5,23000000,381858
서대문구,3321476.62,4,17000000,322952
서초구,13359636.0,6,46000000,429025
성동구,626838.7,5,16000000,300505
성북구,1198327.0,3,24000000,447056
송파구,2838992.8,7,33000000,673926
양천구,1203428.5,5,17000000,457781
영등포구,424446.0,5,24000000,407367
용산구,247194.1,2,21000000,244645
은평구,2986459.0,7,29000000,484043
종로구,3907680.57,12,23000000,158996
중구,2943303.8000000003,5,9000000,134635
중랑구,7078975.0,6,18000000,399562
