,지역,공원면적,공원수,구면적,인구수,인당공원면적,공원면적비율
0,강남구,3626398.5,7,39000000,544055,6.66549981159993,9.298457692307691
1,강동구,1526389.3,7,24000000,463998,3.289646291578843,6.359955416666667
2,강북구,3714902.4,4,23000000,311569,11.923209305161938,16.15174956521739
3,강서구,2194154.1,9,41000000,585901,3.744922947733491,5.351595365853658
4,관악구,10431453.08,2,29000000,509803,20.461733414671944,35.97052786206897
5,광진구,584002.0,2,17000000,360109,1.6217367519278885,3.435305882352941
6,구로구,1617657.0,4,20000000,432488,3.7403511773737073,8.088285
7,금천구,57568.0,4,13000000,247835,0.23228357576613473,0.44283076923076925
8,노원구,12024307.3,2,35000000,527032,22.8151370315275,34.355163714285716
9,도봉구,1084218.0,6,20000000,327361,3.3119950146779855,5.4210899999999995
10,동대문구,458663.7,4,14000000,357014,1.2847218876570667,3.276169285714286
11,동작구,3706739.1,7,16000000,401572,9.23057160359786,23.167119375
12,마포구,2685112.7,5,23000000,381858,7.031704717460418,11.67440304347826
13,서대문구,3321476.62,4,17000000,322952,10.28473773192301,19.538097764705885
14,서초구,13359636.0,6,46000000,429025,31.139527999533826,29.04268695652174
15,성동구,626838.7,5,16000000,300505,2.0859509825127702,3.917741875
16,성북구,1198327.0,3,24000000,447056,2.680485218854014,4.993029166666667
17,송파구,2838992.8,7,33000000,673926,4.212618002570014,8.603008484848484
18,양천구,1203428.5,5,17000000,457781,2.628830161146924,7.078991176470588
19,영등포구,424446.0,5,24000000,407367,1.0419253400496358,1.768525
20,용산구,247194.1,2,21000000,244645,1.0104195875656563,1.177114761904762
21,은평구,2986459.0,7,29000000,484043,6.169821689395364,10.298134482758622
22,종로구,3907680.57,12,23000000,158996,24.57722565347556,16.989915521739128
23,중구,2943303.8000000007,5,9000000,134635,21.86135700226539,32.70337555555557
24,중랑구,7078975.0,6,18000000,399562,17.716837436993508,39.32763888888889
